Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT0, NRESET1",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
"C10, C11, C2, C21, C27, C28, C29, C3, C30, C31, C37, C38, C39, C40, C41, C45, C46, C47, C48, C5, C51, C52, C54, C55, C6, C63, C65, C72, C73, C74, C75, C77, C78",0402,33,100n,C1525
"C12, C13, C14, C15, C17",0805,5,10u,C440198
"C16, C49, C50, C53, C58, C60, C66",0603,7,4.7u,C19666
"C18, C19, C22, C44, C61",0603,5,1u,C15849
"C20, C70, C71",0603,3,10n,C57112
"C23, C35",0402,2,330p,C13533
"C24, C69",1206,2,10u,C13585
"C25, C26, C59",1206,3,47u,C96123
C32,0402,1,10n,C15195
C33,0805,1,3.3n,C327234
C34,0402,1,680p,C307451
C36,0402,1,47p,C1567
"C42, C43",0603,2,1n,C1588
"C56, C57",0402,2,18p,C1549
"C62, C64",0603,2,2.2u,C23630
"C67, C68",0402,2,12p,C1547
"C7, C8",0603,2,22u,C59461
C76,0402,1,1u,C52923
"D1, D2, D3, D4",SOD-123,4,B5819W,C8598
D10,D_SMC,1,SM15T33CA,C151281
"D11, D12",D_SMA,2,SS34,C8678
D13,0805,1,BLUE,C34499
D14,0805,1,YELLOW,C2296
"D15, D16, D17, D9",D_SOD-123,4,1N5819WS,C191023
D5,0805,1,RED,C84256
D6,0805,1,GREEN,C2297
D8,SOT-23,1,PESD1CAN,C343993
F1,PAD-1206-PAD,1,12H1500D,C182446
F10,1206,1,Polyfuse,C492011
F11,1206,1,120mA,C20982
"F2, F3, F4, F5, F6, F7, F8, F9",0603,8,50mA,C369141
FB1,0805,1,Ferrite_Bead,C1015
J3,USB_C,1,USB_C,C2927038
J4,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,C164170
L1,1210,1,2.2u,C75646
L2,MWSA0503,1,10u,C408412
R1,0603,1,33k,C4216
"R10, R11, R12, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R5, R6, R69, R7, R70, R71, R72, R73, R74, R75, R76, R8, R83, R84, R9",0603,30,4.7k,C23162
"R100, R101, R103, R104, R105, R107, R108, R109, R42, R43, R44, R45, R46, R47, R48, R49, R61, R62, R63, R64, R65, R66, R67, R68",0402,24,4k7,C281778
"R102, R106, R110, R99",0402,4,470,C25117
R111,0603,1,6.8k,C23212
"R13, R14, R15, R16, R17, R18, R19, R20",0402,8,10,C25077
"R3, R4",R0603,2,5.6k,C23189
R33,0402,1,1,C25086
"R34, R35, R85, R86, R91, R94, R97",0402,7,10k,C25744
"R36, R54",0402,2,12k,C25752
R37,0402,1,68k,C36871
"R38, R39, R40, R41, R53, R57, R58, R59, R60",0402,9,470k,C25790
"R50, R51, R56",0402,3,33k,C25779
"R52, R55",0402,2,100k,C25741
"R79, R80",0402,2,1k,C11702
R89,0603,1,0,C21189
R90,0603,1,100,C22775
"R92, R93",0603,2,2k2,C4190
"R95, R98",0603,2,2.7k,C13167
R96,0603,1,48.7k,C23063
"RN1, RN2, RN3",R_Array_Convex_4x0603,3,10k,C29718
U1,LGA-12_2x2mm_P0.5mm,1,LIS2DW12TR,C50385411
"U10, U11, U12, U13, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,6,VNLD5160TR-E,C377942
U14,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,LMR14020,C187824
U15,Infineon_PG-DSO-8-43,1,TLS115,C3747428
U16,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U17, U21, U28",SOT-23-6,3,SRV05-4,C85364
"U18, U22, U29",TSSOP-14_4.4x5mm_P0.65mm,3,MCP6004,C50282
"U19, U20",SOT-23-5,2,LMV321,C7972
"U23, U24",MSOP-10_3x3mm_P0.5mm,2,MAX9924,C5145181
U25,SOT-23-5,1,MIC5205-3.3YM5,
U26,LQFP-100_14x14mm_P0.5mm,1,STM32F427VGTx,C117815
U27,Infineon_PG-DSO-12-9,1,TLE9201SG,C112633
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C51954344
U4,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HB,C94049
U6,SOT-23-6,1,USBLC6-2SC6,C7519
U7,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74LVC4245APWR,C7859
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,20MHz,C112566
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 kHz,C99009
