Designator,Mid X,Mid Y,Rotation,Layer
BOOT0,149.95,-107.7,0.0,top
C10,88.1,-79.1075,90.0,top
C11,88.1,-73.1075,90.0,top
C12,145.0,-134.6,0.0,top
C13,144.6,-131.8,90.0,top
C14,140.6,-131.8,90.0,top
C15,142.6,-131.8,90.0,top
C16,146.0,-137.225,90.0,top
C17,143.4,-136.6,0.0,top
C18,140.8,-136.0,90.0,top
C19,151.64,-127.2,90.0,top
C2,130.3875,-121.55,0.0,top
C20,133.4,-131.8,90.0,top
C21,136.145,-139.75,180.0,top
C22,151.64,-122.7,270.0,top
C23,136.0,-132.31,270.0,top
C24,124.8,-134.6,270.0,top
C25,122.4,-134.6,270.0,top
C26,116.8,-139.8,0.0,top
C27,147.289,-73.8245,90.0,top
C28,148.689,-73.8445,270.0,top
C29,144.689,-73.8445,270.0,top
C3,112.2,-112.65,270.0,top
C30,146.289,-73.8245,90.0,top
C31,147.289,-84.1445,270.0,top
C32,132.999797,-67.875781,90.0,top
C33,135.3,-62.9,180.0,top
C34,136.15,-71.5625,180.0,top
C35,134.25,-72.5625,0.0,top
C36,136.15,-72.5625,180.0,top
C37,141.5265,-73.8245,90.0,top
C38,142.9265,-73.8445,270.0,top
C39,138.9265,-73.8445,270.0,top
C40,140.5265,-73.8245,90.0,top
C41,141.5265,-84.1445,270.0,top
C42,124.9875,-69.75,0.0,top
C43,129.5625,-69.75,0.0,top
C44,122.411,-76.163,270.0,top
C45,127.4625,-79.35,270.0,top
C46,131.9,-103.3,180.0,top
C47,114.0,-109.0,0.0,top
C48,128.4,-111.7,90.0,top
C49,129.7,-111.075,90.0,top
C5,118.2,-85.8,180.0,top
C50,113.925,-110.3,0.0,top
C51,132.0,-98.0,0.0,top
C52,115.0,-93.2,270.0,top
C53,139.2,-107.55,0.0,top
C54,128.1,-92.28,90.0,top
C55,132.0,-99.0,180.0,top
C56,141.9,-104.15,90.0,top
C57,141.9,-102.25,270.0,top
C58,113.8,-93.2,270.0,top
C59,134.85,-124.7,270.0,top
C6,121.1375,-119.55,90.0,top
C60,129.4,-92.7,90.0,top
C61,111.2,-95.5,0.0,top
C62,116.3,-91.725,90.0,top
C63,148.85,-104.1,0.0,top
C64,111.9,-107.0,180.0,top
C65,133.45,-96.28,90.0,top
C66,134.75,-97.425,270.0,top
C67,136.1,-103.7,0.0,top
C68,136.1,-105.1,0.0,top
C69,103.285,-64.0,180.0,top
C7,98.825,-104.85,0.0,top
C70,99.36,-64.43,0.0,top
C71,100.11,-78.15,0.0,top
C72,149.6525,-72.187,90.0,top
C73,153.4265,-73.7995,90.0,top
C74,152.4265,-73.8295,90.0,top
C75,150.7265,-73.8295,270.0,top
C76,155.1765,-73.8745,0.0,top
C77,153.6265,-84.1245,270.0,top
C78,142.975,-126.4,0.0,top
C8,97.55,-122.85,0.0,top
D1,118.17,-52.2,180.0,top
D10,124.3,-49.3,270.0,top
D11,148.6,-137.2,90.0,top
D12,128.85,-139.0,180.0,top
D13,95.6375,-93.65,180.0,top
D14,95.65,-95.9,180.0,top
D15,139.525,-109.525,0.0,top
D16,140.75,-124.75,90.0,top
D17,136.65,-128.225,180.0,top
D2,118.175,-45.425,180.0,top
D3,118.175,-49.95,180.0,top
D4,118.175,-47.65,180.0,top
D5,95.65,-100.35,180.0,top
D6,95.65,-98.1,180.0,top
D8,131.3875,-119.3,180.0,top
D9,107.2,-137.6675,270.0,top
F1,124.3,-43.1,180.0,top
F10,147.9,-132.25,180.0,top
F11,155.25,-50.1,90.0,top
F2,87.1,-64.65,270.0,top
F3,85.85,-68.05,270.0,top
F4,84.85,-64.65,270.0,top
F5,83.6,-68.05,270.0,top
F6,82.6,-64.65,270.0,top
F7,81.6,-68.05,270.0,top
F8,80.6,-64.65,270.0,top
F9,79.6,-68.05,270.0,top
FB1,135.75,-95.0,180.0,top
J3,100.25,-140.1375,0.0,top
J4,97.55,-114.1,90.0,top
L1,142.8,-139.25,180.0,top
L2,129.2,-134.0,270.0,top
NRESET1,149.95,-101.5,0.0,top
R1,95.725,-104.85,180.0,top
R10,84.025,-85.2,90.0,top
R100,152.5765,-84.1245,90.0,top
R101,154.6765,-84.1245,90.0,top
R102,92.95,-98.1,0.0,top
R103,151.3265,-84.1245,90.0,top
R104,152.5765,-86.0245,90.0,top
R105,154.6765,-86.0245,90.0,top
R106,92.94,-93.65,0.0,top
R107,151.3265,-86.0245,90.0,top
R108,149.6525,-68.13025,90.0,top
R109,149.6525,-70.03025,90.0,top
R11,84.825,-82.225,90.0,top
R110,92.94,-95.9,0.0,top
R111,142.925,-123.875,270.0,top
R12,85.625,-85.2,90.0,top
R13,85.85,-71.0775,90.0,top
R14,83.85,-71.0775,90.0,top
R15,81.85,-71.0775,90.0,top
R16,79.85,-71.0775,90.0,top
R17,86.85,-71.0775,90.0,top
R18,84.85,-71.0775,90.0,top
R19,82.85,-71.0775,90.0,top
R20,80.85,-71.0775,90.0,top
R21,79.9,-56.65,0.0,top
R22,85.9,-56.65,0.0,top
R23,91.9,-56.65,0.0,top
R24,97.9,-56.65,0.0,top
R25,82.9,-56.65,180.0,top
R26,88.9,-56.65,180.0,top
R27,94.9,-56.65,180.0,top
R28,100.9,-56.65,180.0,top
R29,108.65,-76.15,0.0,top
R3,96.75,-134.634144,0.0,top
R30,114.65,-76.15,0.0,top
R31,111.65,-76.15,180.0,top
R32,117.65,-76.15,180.0,top
R33,146.0,-139.76,90.0,top
R34,138.8,-132.31,90.0,top
R35,144.64,-122.6,270.0,top
R36,137.2,-132.31,90.0,top
R37,134.8,-132.31,90.0,top
R38,149.2265,-65.23025,270.0,top
R39,147.639,-64.640261,0.0,top
R4,103.74,-134.63,180.0,top
R40,145.729,-64.640261,180.0,top
R41,144.0265,-67.18025,270.0,top
R42,146.289,-84.1445,90.0,top
R43,148.289,-84.1445,90.0,top
R44,144.039,-84.1445,90.0,top
R45,145.039,-84.1445,90.0,top
R46,146.289,-86.0445,90.0,top
R47,148.289,-86.0445,90.0,top
R48,144.039,-86.0445,90.0,top
R49,145.039,-86.0445,90.0,top
R5,80.025,-82.225,90.0,top
R50,132.999797,-65.875781,90.0,top
R51,134.25,-69.5625,180.0,top
R52,136.05,-64.3625,0.0,top
R53,136.15,-69.5625,180.0,top
R54,136.15,-70.5625,0.0,top
R55,134.25,-70.5625,0.0,top
R56,134.25,-71.5625,180.0,top
R57,143.4765,-65.23025,270.0,top
R58,141.8765,-64.640261,0.0,top
R59,139.9665,-64.640261,180.0,top
R6,80.75,-85.2,90.0,top
R60,138.4,-65.23025,270.0,top
R61,140.5265,-84.1445,90.0,top
R62,142.5265,-84.1445,90.0,top
R63,138.2765,-84.1445,90.0,top
R64,139.2765,-84.1445,90.0,top
R65,140.5265,-86.0445,90.0,top
R66,142.5265,-86.0445,90.0,top
R67,138.2765,-86.0445,90.0,top
R68,139.2765,-86.0445,90.0,top
R69,123.9875,-63.675,90.0,top
R7,81.625,-82.225,90.0,top
R70,125.9875,-63.675,90.0,top
R71,128.2625,-63.675,90.0,top
R72,130.2625,-63.675,90.0,top
R73,123.9875,-67.15,90.0,top
R74,125.9875,-67.15,90.0,top
R75,128.2625,-67.15,90.0,top
R76,130.2625,-67.15,90.0,top
R79,127.2625,-76.75,90.0,top
R8,82.325,-85.2,90.0,top
R80,127.2625,-74.84,270.0,top
R83,125.0875,-80.15,180.0,top
R84,129.7875,-80.1875,180.0,top
R85,148.85,-105.2,180.0,top
R86,150.85,-104.1,0.0,top
R89,123.4,-91.55,180.0,top
R9,83.225,-82.225,90.0,top
R90,90.8,-133.4,270.0,top
R91,122.6,-89.8,90.0,top
R92,118.7,-89.8,180.0,top
R93,120.5,-86.9,90.0,top
R94,103.425,-78.1,180.0,top
R95,154.4165,-64.537,180.0,top
R96,155.1825,-67.671511,270.0,top
R97,155.1765,-72.8745,0.0,top
R98,151.3165,-64.537,0.0,top
R99,92.95,-100.35,0.0,top
RN1,146.6765,-66.937,0.0,top
RN2,140.914,-66.937,0.0,top
RN3,152.3265,-66.937,0.0,top
U1,110.4,-113.0,0.0,top
U10,93.45,-52.15,0.0,top
U11,99.45,-52.15,0.0,top
U12,110.15,-71.65,0.0,top
U13,116.15,-71.65,0.0,top
U14,136.2,-136.2,90.0,top
U15,147.975,-124.955,270.0,top
U16,116.6,-134.875,0.0,top
U17,146.739,-70.7745,270.0,top
U18,146.489,-78.9445,0.0,top
U19,135.35,-66.9625,270.0,top
U20,135.35,-75.1625,90.0,top
U21,140.9765,-70.7745,270.0,top
U22,140.7265,-78.9445,0.0,top
U23,124.9875,-75.8375,180.0,top
U24,129.5625,-75.8375,180.0,top
U25,137.8,-124.45,270.0,top
U26,122.2,-102.0,90.0,top
U27,101.795,-71.295,180.0,top
U28,152.4265,-70.7745,270.0,top
U29,152.9025,-78.9445,0.0,top
U3,125.3875,-119.3,270.0,top
U4,118.5,-87.7,90.0,top
U6,100.4,-133.0675,270.0,top
U7,83.35,-76.5875,180.0,top
U8,81.605,-52.15,0.0,top
U9,87.45,-52.15,0.0,top
Y1,139.3,-102.7,90.0,top
Y2,134.0,-104.4,90.0,top
